GENUS;SPECIES;SPECNO;FULL_SPECIES;JAAR;BRON;HER_COOR;AMERSX;AMERSY;HOKX;X_Round;Y_Round;X_Y_COOR;check
Bombus;ruderarius;603;Bombus_ruderarius;2011;2;3;15,5;374,3;0,1;15;374;15374;0
Halictus;confusus;656;Halictus_confusus;2011;2;3;15,5;374,3;0,1;15;374;15374;0
Lasioglossum;calceatum;672;Lasioglossum_calceatum;2011;2;3;15,5;374,3;0,1;15;374;15374;0
Lasioglossum;leucopus;679;Lasioglossum_leucopus;2011;2;3;15,5;374,3;0,1;15;374;15374;0
Lasioglossum;leucozonium;662;Lasioglossum_leucozonium;2011;2;3;15,5;374,3;0,1;15;374;15374;0
Lasioglossum;villosulum;697;Lasioglossum_villosulum;2011;2;3;15,6;374,3;0,1;15;374;15374;0
Andrena;barbilabris;456;Andrena_barbilabris;2007;2;3;15;375;1;15;375;15375;0
Andrena;carantonica;459;Andrena_carantonica;2007;2;3;15;375;1;15;375;15375;0
Andrena;haemorrhoa;481;Andrena_haemorrhoa;2007;3;3;15;375;1;15;375;15375;0
Andrena;helvola;483;Andrena_helvola;2007;2;3;15;375;1;15;375;15375;0
Andrena;proxima;504;Andrena_proxima;2007;2;3;15;375;1;15;375;15375;0
Andrena;tibialis;517;Andrena_tibialis;2007;2;3;15;375;1;15;375;15375;0
Bombus;hypnorum;594;Bombus_hypnorum;2007;3;3;15;375;1;15;375;15375;0
Bombus;lapidarius;596;Bombus_lapidarius;2007;3;3;15;375;1;15;375;15375;0
Bombus;pascuorum;600;Bombus_pascuorum;2007;3;3;15;375;1;15;375;15375;0
Bombus;pratorum;602;Bombus_pratorum;2007;3;3;15;375;1;15;375;15375;0
Bombus;ruderarius;603;Bombus_ruderarius;2007;3;3;15;375;1;15;375;15375;0
Bombus;terrestris;608;Bombus_terrestris;2007;3;3;15;375;1;15;375;15375;0
Lasioglossum;sexnotatum;667;Lasioglossum_sexnotatum;2006;3;3;15;375;1;15;375;15375;0
Nomada;flava;556;Nomada_flava;2007;2;3;15;375;1;15;375;15375;0
Nomada;marshamella;568;Nomada_marshamella;2007;2;3;15;375;1;15;375;15375;0
Nomada;ruficornis;548;Nomada_ruficornis;2007;2;3;15;375;1;15;375;15375;0
Halictus;rubicundus;653;Halictus_rubicundus;2007;3;3;15;376;1;15;376;15376;0
Andrena;barbilabris;456;Andrena_barbilabris;2007;3;3;15;377;1;15;377;15377;0
Andrena;bicolor;457;Andrena_bicolor;2007;2;3;15;377;1;15;377;15377;0
Andrena;carantonica;459;Andrena_carantonica;2007;3;3;15;377;1;15;377;15377;0
Andrena;florea;473;Andrena_florea;2005;3;3;15;377;1;15;377;15377;0
Andrena;haemorrhoa;481;Andrena_haemorrhoa;2007;3;3;15;377;1;15;377;15377;0
Apis;mellifera;587;Apis_mellifera;2005;3;3;15;377;1;15;377;15377;0
Bombus;campestris;612;Bombus_campestris;2005;3;3;15;377;1;15;377;15377;0
Bombus;hortorum;592;Bombus_hortorum;2005;3;3;15;377;1;15;377;15377;0
Bombus;hypnorum;594;Bombus_hypnorum;2005;3;3;15;377;1;15;377;15377;0
