"CELL_ID" "X_ArcGIS" "Y_ArcGIS" "ED_total_6Classes" "Suitability" "ED_total_ManNat" "NumClasses_VEG_LU" "Mean_Patch_areaKm2_Veg_LU" "LUVEG_1" "LUVEG_2" "LUVEG_3" "LUVEG_4" "LUVEG_5" "LUVEG_6" "LUVEG_7" "LUVEG_8" "LUVEG_20" "LUVEG_30" "LUVEG_60"
100456 100500 456500.000000003 0.04335 66.5625 0.025765575501584 11 0.108928357233045 0 0.8125 1.5 1 0.625 19 10.375 0.4375 24.75 6.1875 35
100457 100500 457499.999999994 0.03255 10.125 0.0135734072022161 11 0.118783816183816 0 1.125 1.5 0.5 1.1875 78.5 6.5 0.5 0.375 2.5625 7.1875
100458 100500 458499.999999998 0.0311 25.625 0.0126966292134831 11 0.120133928571429 0 0.4375 0.625 0.125 0.3125 66.375 6.5625 0.3125 14.125 2 8.4375
100459 100500 459500.000000003 0.031 19.1875 0.0165157329240215 11 0.0927188241446054 0.0625 0.375 1.125 0.1875 0.1875 72.0625 6.4375 0.375 0.625 2.125 16.4375
100460 100500 460499.999999994 0.06915 60.0625 0.0588531468531469 11 0.110590835690805 0 1.9375 3.625 1.25 1.75 15.125 15.3125 0.5 4.375 7.875 47
100461 100500 461499.999999999 0.01935 13.8125 0.00808871493803001 10 0.266101325757576 0 0.5625 1.0625 0.0625 0.75 80.125 3.4375 0.1875 9.625 1 3.1875
100462 100500 462500.000000003 0.00835 1.9375 0.00480600750938673 8 0.985583333333333 0 0.5 0.125 0 0.25 96.1875 0.875 0.125 1.8125 0.125 0
100463 100500 463499.999999994 0.0262 4 0.00916666666666667 9 0.447275545634921 0 0.625 1.8125 0.1875 0.5 87.25 5.4375 0.125 0 1.375 2.6875
100464 100500 464499.999999999 0.0416 16.875 0.017984962406015 9 0.0705278922466423 0 1.125 2.5625 0.25 1.1875 72.375 5.25 0.25 0 8.5625 8.4375
100465 100500 465500.000000003 0.0425 18.6875 0.0193082244427364 8 0.116112925543024 0 0.1875 3 0 0.3125 71.5 5.5625 0.0625 0 8.3125 11.0625
100466 100500 466499.999999994 0.0426 34.1875 0.0217847286108556 11 0.0954544134727062 0 0.375 1.75 0.125 0.375 56 6.5 0.0625 2.125 4.125 28.375
100467 100500 467499.999999999 0.0367 17.875 0.0119376391982183 11 0.0886322164355253 0 0.75 2.375 0.5 0.5 68.9375 8.75 0.1875 2 3.75 11.9375
100468 100500 468500.000000004 0.0281 27.5 0.0114924181963288 10 0.112380978037767 0 0.5 1.625 0 0.125 64.5 5.375 0.125 5.625 18.5 3.375
100469 100500 469499.999999994 0.02885 18.125 0.0138867924528302 8 0.280864583333333 0 0 1.625 0.0625 0 74.5625 4.6875 0.1875 0.8125 13.875 4.1875
100470 100500 470499.999999999 0.02085 69.5625 0.00947510094212651 9 0.377224702380952 0 0.5625 0.3125 0 0.125 27.8125 1.875 0.5 61.5 4.8125 2.5
